NAME,CITY,COUNTY,STATE,LATITUDE,LONGITUDE,LINES,MAX_VOLT,MIN_VOLT,OWNER,TYPE,STATUS,source_dataset,lmp_avg,lmp_hub_spread,lmp_std,shadow_price_nearby,constraint_hours,CAPACITY_SCORE,TIER,ercot_bus_matched,match_confidence,data_source,score_basis,ercot_zone,score_timestamp,queue_hits,project_hits,upgrade_pressure,hosting_band,hosting_confidence,primary_limiter
Alice Substation,,,TX,27.7298352,-98.0874594,1,138.0,69.0,American Electric Power,transmission,IN SERVICE,OSM,17.863333333333333,1.8191666666666677,14.328945355468418,0.0,0.0,80.22,AVAILABLE,"ALICE_L_A, ALICE_L_B, ALICE_V_A",1.0,local_zip,bus_match,LZ_SOUTH,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Flat Top Substation,,,TX,31.1995472,-103.3595185,1,138.0,138.0,Texas-New Mexico Power,distribution,IN SERVICE,OSM,15.296666666666667,4.385833333333334,3.580675994796255,0.0,0.0,80.03,AVAILABLE,"FLATTOP_0400, FLATTOP_0500, FLATTOP_8132, TNFLATTOP_1V, TNFLATTOP_1W, TNFLATTOP_1X, TNFLATTOP_1Y, TNFLATTOP_1Z",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Crane Substation,,,TX,31.4098418,-102.3386148,1,138.0,69.0,American Electric Power; Lower Colorado River Authority,transmission,IN SERVICE,OSM,15.286666666666665,4.395833333333336,3.73218099775453,0.0,0.0,79.95,AVAILABLE,"CRANE_9, CRANE_9W, L_CRANE8_TA",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Church Substation,,,TX,32.3671438,-99.5255088,1,138.0,138.0,Golden Spread Electric Cooperative,distribution,IN SERVICE,OSM,15.299999999999999,4.382500000000002,4.24818784895395,0.0,0.0,79.77,AVAILABLE,CHURCH1_EB,1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Lynx Substation,,,TX,31.0718593,-102.3935068,1,138.0,138.0,American Electric Power,transmission,IN SERVICE,OSM,16.354444444444443,3.328055555555558,8.932310982449026,0.0,0.0,79.74,AVAILABLE,"EB_LPS1_EPS, LN_16TH_ST, LN_SPTREE, LYNXESS_ESR1, LYNX_LD1, LYNX_LN2, LYNX_WW2, LYRIO, LYTOM",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Faulkner Substation,,,TX,31.261031,-103.7931847,1,138.0,138.0,Texas-New Mexico Power,distribution,IN SERVICE,OSM,15.049999999999999,4.632500000000002,3.6692565293613475,0.0,0.0,79.57,AVAILABLE,"BLT_FLK, TNFAULKNER1A, TNFAULKNER1P, TNFAULKNER1V, TNFAULKNER1W, TNFAULKNER1X, TNFAULKNER1Y, TNFAULKNER1Z",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Musquiz Substation,,,TX,31.2383707,-103.1582934,1,138.0,138.0,Texas-New Mexico Power,transmission,IN SERVICE,OSM,15.200000000000001,4.4825,4.330854419164885,0.0,0.0,79.56,AVAILABLE,MUSQUI_138_1,1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Pecos Substation,,,TX,31.4295051,-103.4987029,1,138.0,138.0,Texas-New Mexico Power,distribution,IN SERVICE,OSM,15.013333333333334,4.669166666666667,3.64465543056503,0.0,0.0,79.51,AVAILABLE,"EB1_WPEC_EPS, PECOS_L1, PECOS_S1, TNPECOS___1A, TNPECOS___1B, TNPECOS___1C, TNPECOS___1D, TNPECOS___1E, TNPECOS___1F, TNPECOS___1G, TNPECOS___1H, TNPECOS___1I, TNPECOS___1J, TNPECOS___1K, TNPECOS___1L, TNPECOS___1M, TNPECOS___1N, TNPECOS___1O",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Wolfcamp,,,TX,32.1617996,-103.8297394,1,115.0,115.0,,transmission,IN SERVICE,OSM,15.540000000000001,4.1425,4.234017005161884,0.0,0.0,79.51,AVAILABLE,WOLFCAMP_9,1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,50-150,HIGH,station_limit
Lonestar Substation,,,TX,31.5942755,-103.2484104,1,138.0,138.0,Texas-New Mexico Power,distribution,IN SERVICE,OSM,14.790000000000001,4.8925,3.7613374072142345,0.0,0.0,79.07,AVAILABLE,"EB_0082, EB_8096, EB_8097, LS_BESS, TNLONESTAR1P, TNLONESTAR1Q, TNLONESTAR1R, TNLONESTAR1S, TNLONESTAR1T, TNLONESTAR1U, TNLONESTAR1V, TNLONESTAR1W, TNLONESTAR1X, TNLONESTAR1Y, TNLONESTAR1Z",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
Mason Substation,,,TX,30.7380387,-99.2341799,1,138.0,69.0,American Electric Power; Central Texas Electric Cooperative,transmission,IN SERVICE,OSM,14.806666666666665,4.875833333333336,3.9352477685655343,0.0,0.0,79.03,AVAILABLE,"MASON_8Y, MASON_LDXFR2, MASON_XFR3",1.0,local_zip,bus_match,LZ_WEST,2026-04-16T21:18:27.083633+00:00,1,0,low,150-300,HIGH,unknown
