ercot_bus,substation_name,match_method,match_confidence,latitude,longitude
NUECES_EPS9,Gila Substation,ercot_reference_exact,1.0,27.8197488,-97.4213144
NUE_NUECESG9,Gila Substation,ercot_reference_exact,1.0,27.8197488,-97.4213144
NUGE_L_A,Nugent Substation,ercot_reference_exact,1.0,32.6937158,-99.6748451
N_ALAMO_L_A,Alamo Cement Substation,alias,1.0,29.611783,-98.3744229
N_ALAMO_L_B,Alamo Cement Substation,alias,1.0,29.611783,-98.3744229
N_ELLA_L_A,North Ella Substation,alias,1.0,27.5286625,-98.1124413
N_SHARPE_V_A,Nelson Sharpe Substation,alias,1.0,27.560471,-97.6688342
N_SHARPE_V_B,Nelson Sharpe Substation,alias,1.0,27.560471,-97.6688342
N_SHARPE_V_C,Nelson Sharpe Substation,alias,1.0,27.560471,-97.6688342
ODEM_L_A,Odem Substation,ercot_reference_exact,1.0,27.9425339,-97.5737846
ODEM_L_B,Odem Substation,ercot_reference_exact,1.0,27.9425339,-97.5737846
OLD1,Devine Substation,ercot_reference_exact,1.0,29.1339644,-98.8974241
OLD2,Devine Substation,ercot_reference_exact,1.0,29.1339644,-98.8974241
OLMITO_K,Olmito Substation,ercot_reference_exact,1.0,26.0015288,-97.5198154
OLMITO_RN,Olmito Substation,ercot_reference_exact,1.0,26.0015288,-97.5198154
OLMOSSUB9X,Olmos Substation,ercot_reference_exact,1.0,29.4841892,-98.4910556
OLMOS_B,Olmos Substation,exact,0.99,29.4841892,-98.4910556
OLMOS_C,Olmos Substation,exact,0.99,29.4841892,-98.4910556
OLMOS_D,Olmos Substation,exact,0.99,29.4841892,-98.4910556
OLMOS_K,Olmos Substation,exact,0.99,29.4841892,-98.4910556
OLMOS_S_1,Olmos Substation,ercot_reference_exact,1.0,29.4841892,-98.4910556
OLM_MIL_EB,Olmito Substation,ercot_reference_exact,1.0,26.0015288,-97.5198154
OLM_PAL_EB,Olmito Substation,ercot_reference_exact,1.0,26.0015288,-97.5198154
ORION_L_A,Orion Substation,ercot_reference_exact,1.0,29.6287037,-95.0450702
OZNA_L_A,Ozona Substation,ercot_reference_exact,1.0,30.719174,-101.1997574
OZNA_V_A,Ozona Substation,ercot_reference_exact,1.0,30.719174,-101.1997574
OZONA_LD02,Ozona Substation,ercot_reference_exact,1.0,30.719174,-101.1997574
PADUCAH,Paducah City Substation,alias,1.0,34.0146962,-100.2993742
PAGE_L_A,Page Field Substation,alias,1.0,30.7985235,-100.4642948
PALACIOS_2,Palacios Substation,alias,1.0,28.7570091,-96.2121274
PALACIOS_L_A,Palacios Substation,ercot_reference_exact,1.0,28.7570091,-96.2121274
PALACIOS_L_B,Palacios Substation,ercot_reference_exact,1.0,28.7570091,-96.2121274
PALACIOS_RN,Palacios Substation,ercot_reference_exact,1.0,28.7570091,-96.2121274
PALACI_2886,Palacios Substation,ercot_reference_exact,1.0,28.7570091,-96.2121274
PALACI_2887,Palacios Substation,ercot_reference_exact,1.0,28.7570091,-96.2121274
PALACI_PS30,Palacios Substation,ercot_reference_exact,1.0,28.7570091,-96.2121274
PALACI_PS31,Palacios Substation,ercot_reference_exact,1.0,28.7570091,-96.2121274
PANDA_S_CC1,Panda Temple 1 Substation,alias,1.0,31.0570663,-97.315088
PANDA_S_CT1,Panda Temple 1 Substation,alias,1.0,31.0570663,-97.315088
PANDA_S_CT2,Panda Temple 1 Substation,alias,1.0,31.0570663,-97.315088
PANDA_S_ST1,Panda Temple 1 Substation,alias,1.0,31.0570663,-97.315088
PARIS_8T,Paris Substation,ercot_reference_exact,1.0,33.6390776,-95.58098
PARIS_8W,Paris Substation,ercot_reference_exact,1.0,33.6390776,-95.58098
PARKER_L_A,Parker Substation,ercot_reference_exact,1.0,29.5719349,-96.3840937
PARSONS_A,Parsons Street Substation,alias,1.0,29.4121069,-98.4795019
PARSONS_B,Parsons Street Substation,alias,1.0,29.4121069,-98.4795019
PATRICIA_LD1,Patricia Substation,ercot_reference_exact,1.0,32.5498913,-102.0080729
PATTON_K,Patton Lane Substation,alias,1.0,30.2382882,-97.8704915
PAYNE1_8,Payne Substation,ercot_reference_exact,1.0,34.8923993,-97.5548792
PAYNE1_N8K,Payne Substation,ercot_reference_exact,1.0,34.8923993,-97.5548792
PAYNE1_S8M,Payne Substation,ercot_reference_exact,1.0,34.8923993,-97.5548792
PEARSALL,Pearsall Substation,exact,0.99,28.8881174,-99.0793245
PEARSALL9512,Pearsall Substation,ercot_reference_exact,1.0,28.8881174,-99.0793245
PEARSALL_1,Pearsall Substation,alias,1.0,28.8881174,-99.0793245
PEARSALL_AG1,Pearsall Substation,ercot_reference_exact,1.0,28.8881174,-99.0793245
PEARSALL_AG2,Pearsall Substation,ercot_reference_exact,1.0,28.8881174,-99.0793245
PEARSALL_EB1,Pearsall Substation,ercot_reference_exact,1.0,28.8881174,-99.0793245
PEARSALL_EB2,Pearsall Substation,ercot_reference_exact,1.0,28.8881174,-99.0793245
PEARSALL_RN,Pearsall Substation,ercot_reference_exact,1.0,28.8881174,-99.0793245
PEARSAL_2422,Pearsall Substation,ercot_reference_exact,1.0,28.8881174,-99.0793245
PEARSAL_8107,Pearsall Substation,ercot_reference_exact,1.0,28.8881174,-99.0793245
PEARSAL_8207,Pearsall Substation,ercot_reference_exact,1.0,28.8881174,-99.0793245
PEARSAL_8307,Pearsall Substation,ercot_reference_exact,1.0,28.8881174,-99.0793245
PEARSAL_8407,Pearsall Substation,ercot_reference_exact,1.0,28.8881174,-99.0793245
PEARSAL_8507,Pearsall Substation,ercot_reference_exact,1.0,28.8881174,-99.0793245
PEARSAL_9502,Pearsall Substation,ercot_reference_exact,1.0,28.8881174,-99.0793245
PEARSAL_9505,Pearsall Substation,ercot_reference_exact,1.0,28.8881174,-99.0793245
PECOS_L1,Pecos Substation,ercot_reference_exact,1.0,31.4295051,-103.4987029
PECOS_S1,Pecos Substation,ercot_reference_exact,1.0,31.4295051,-103.4987029
PETTEWAY,Petteway Substation,exact,0.99,31.1666079,-96.524504
PETTUS_L_A,Pettus Substation,ercot_reference_exact,1.0,28.6207008,-97.7953959
PETTUS_L_B,Pettus Substation,ercot_reference_exact,1.0,28.6207008,-97.7953959
PH1_UNIT1_2,Railhead Substation,ercot_reference_exact,1.0,35.4022323,-101.1538371
PH2_U1_U2,Railhead Substation,ercot_reference_exact,1.0,35.4022323,-101.1538371
PICACHO_0109,Picacho Substation,ercot_reference_exact,1.0,29.4324493,-100.9409377
PICACHO_0180,Picacho Substation,ercot_reference_exact,1.0,29.4324493,-100.9409377
PICACHO_LD01,Picacho Substation,ercot_reference_exact,1.0,29.4324493,-100.9409377
PLACEDO_L_A,Placedo Substation,ercot_reference_exact,1.0,28.6687797,-96.859755
PLEASANT_L_A,Pleasant Grove Substation,alias,1.0,31.1314562,-96.9030892
PLEASANT_L_B,Pleasant Grove Substation,alias,1.0,31.1314562,-96.9030892
PLEASANT_V_A,Pleasant Grove Substation,alias,1.0,31.1314562,-96.9030892
PLUM_K,Plum Substation,ercot_reference_exact,1.0,29.9440691,-97.0120152
POAGE,Poage Substation,exact,0.99,31.0641469,-97.4403807
PORTLAND_L_A,Portland Substation,ercot_reference_exact,1.0,27.8878114,-97.3224165
PORTLAND_L_B,Portland Substation,ercot_reference_exact,1.0,27.8878114,-97.3224165
PORTSL_UNIT1,Port Substation,ercot_reference_exact,1.0,29.7531369,-95.1846261
PORT_A_BUS1,Port Substation,ercot_reference_exact,1.0,29.7531369,-95.1846261
PORT_A_BUS2,Port Substation,ercot_reference_exact,1.0,29.7531369,-95.1846261
PORT_A_L_A,Port Substation,ercot_reference_exact,1.0,29.7531369,-95.1846261
PORT_A_L_B,Port Substation,ercot_reference_exact,1.0,29.7531369,-95.1846261
PORT_EB1,Port Substation,ercot_reference_exact,1.0,29.7531369,-95.1846261
PORT_LD1,Port Substation,ercot_reference_exact,1.0,29.7531369,-95.1846261
