NAME,CITY,COUNTY,STATE,LATITUDE,LONGITUDE,LINES,MAX_VOLT,MIN_VOLT,OWNER,TYPE,STATUS,source_dataset
Kiowa Switching Station,,,TX,33.6324551,-96.3576621,1,345.0,345.0,Tenaska,transmission,IN SERVICE,OSM
Kirchhef Substation,,,TX,32.9253314,-100.2167755,1,345.0,345.0,American Electric Power,compensation,IN SERVICE,OSM
Koppril Substation,,,TX,31.9526434,-97.8672011,1,345.0,345.0,NextEra Energy,compensation,IN SERVICE,OSM
La Palma 345 Kv Substation,,,TX,26.1465822,-97.6427407,1,345.0,138.0,American Electric Power,transmission,IN SERVICE,OSM
Lawton Eastside,,,TX,34.6037753,-98.3145577,1,345.0,69.0,Public Service Company of Oklahoma,transmission,IN SERVICE,OSM
Lobo Substation,,,TX,27.5789332,-99.2756424,1,345.0,69.0,American Electric Power,transmission,IN SERVICE,OSM
Lon Hill Substation,,,TX,27.8438525,-97.6155988,1,345.0,69.0,American Electric Power,transmission,IN SERVICE,OSM
Long Draw Substation,,,TX,32.7211161,-101.6329669,1,345.0,345.0,Wind Energy Transmission Texas,transmission,IN SERVICE,OSM
Loraine Wind Farm Substation,,,TX,32.4451045,-100.7459571,1,345.0,345.0,Third Planet Windpower,transmission,IN SERVICE,OSM
Lost Pines Station,,,TX,30.1477503,-97.2727885,1,345.0,345.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM
Lytton Springs Substation,,,TX,30.0053687,-97.6743116,1,345.0,138.0,Austin Energy,transmission,IN SERVICE,OSM
Marana Switchyard,,,TX,27.1034382,-97.5296338,1,345.0,345.0,Iberdrola,transmission,IN SERVICE,OSM
Mariah Del Norte Wind Substation,,,TX,34.686105,-102.6645684,1,345.0,345.0,First Reserve,transmission,IN SERVICE,OSM
Marion Substation,,,TX,29.6208306,-98.1487571,1,345.0,138.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM
Mesquite Creek Wind Substation,,,TX,32.7062487,-101.7397539,1,345.0,34.5,Sumitomo; Duke Energy,transmission,IN SERVICE,OSM
Mesquite Substation,,,TX,32.6287758,-99.54042,1,345.0,34.5,EDP,transmission,IN SERVICE,OSM
Mhos Substation,,,TX,32.9066717,-101.0077689,1,345.0,345.0,Wind Energy Transmission of Texas,switching,IN SERVICE,OSM
Miami Wind Substation,,,TX,35.620227,-100.5413565,1,345.0,345.0,Invenergy,transmission,IN SERVICE,OSM
Minco Substation,,,TX,35.3006856,-98.0268937,1,345.0,345.0,Oklahoma Gas & Electric,transmission,IN SERVICE,OSM
Mulberry Creek Substation,,,TX,32.5241279,-99.8225133,1,345.0,138.0,American Electric Power,transmission,IN SERVICE,OSM
Navarro Switching Station,,,TX,31.963993,-96.5179966,1,345.0,345.0,NextEra Energy,transmission,IN SERVICE,OSM
Nelson Sharpe Substation,,,TX,27.560471,-97.6688342,1,345.0,138.0,American Electric Power,transmission,IN SERVICE,OSM
North Dc-Tie,,,TX,34.0851005,-99.1833565,1,345.0,345.0,American Electric Power,converter,IN SERVICE,OSM
North Mccamey Subsation,,,TX,31.1535274,-102.2232987,1,345.0,138.0,Lower Colorado River Authority,transmission,IN SERVICE,OSM
Northwest Substation,,,TX,35.2508256,-101.9372175,1,345.0,69.0,Xcel Energy; Oklahoma Gas & Electric; Austin Energy,transmission,IN SERVICE,OSM
Nova Prime Substation,,,TX,33.3331823,-100.9601828,1,345.0,345.0,Wind Energy Transmission Texas,transmission,IN SERVICE,OSM
Oklaunion North Substation,,,TX,34.0861611,-99.180768,1,345.0,345.0,Southwestern Electric Power Company,transmission,IN SERVICE,OSM
Oklaunion South Substation,,,TX,34.0823289,-99.1807701,1,345.0,345.0,American Electric Power,transmission,IN SERVICE,OSM
Orsted Substation,,,TX,30.6959311,-100.194869,1,345.0,345.0,American Electric Power,compensation,IN SERVICE,OSM
Osm_Way_1006095181,,,TX,31.0337078,-102.4717405,1,345.0,345.0,Concho Bluff LLC,generation,IN SERVICE,OSM
Osm_Way_1462075735,,,TX,32.3916699,-97.4853628,1,345.0,69.0,Brazos Electric Power,transmission,IN SERVICE,OSM
Osm_Way_1475139688,,,TX,30.2192008,-95.8648659,1,345.0,345.0,Parliament Solar; LLC,generation,IN SERVICE,OSM
Osm_Way_1490401468,,,TX,31.0367405,-102.4881798,1,345.0,345.0,Greasewood II LLC,generation,IN SERVICE,OSM
Osm_Way_1490401485,,,TX,32.718912,-101.6328471,1,345.0,138.0,Wind Energy Transmission Texas,transmission,IN SERVICE,OSM
Osm_Way_1490401526,,,TX,33.78124,-100.8831383,1,345.0,345.0,Engie North America,generation,IN SERVICE,OSM
Osm_Way_1490401527,,,TX,33.781145,-100.8770071,1,345.0,345.0,Burksol; LLC,generation,IN SERVICE,OSM
Osm_Way_172185174,,,TX,31.870411,-100.8345154,1,345.0,34.5,NextEra Energy,transmission,IN SERVICE,OSM
Osm_Way_172185177,,,TX,31.8702172,-100.7792686,1,345.0,138.0,NextEra Energy,transmission,IN SERVICE,OSM
Osm_Way_172364105,,,TX,32.0246135,-94.6210776,1,345.0,345.0,Southwestern Electric Power Company,transmission,IN SERVICE,OSM
Osm_Way_464627665,,,TX,36.4944481,-101.3915346,1,345.0,115.0,Noble Power,transmission,IN SERVICE,OSM
Osm_Way_505843813,,,TX,34.0606038,-101.1878164,1,345.0,345.0,Apex Clean Energy,transmission,IN SERVICE,OSM
Osm_Way_522623912,,,TX,28.9850577,-95.3582433,1,345.0,138.0,Dow Chemical Company,transmission,IN SERVICE,OSM
Palo Duro Wind Substation,,,TX,36.4106027,-101.004244,1,345.0,34.5,NextEra Energy,generation,IN SERVICE,OSM
Panda Temple 1 Substation,,,TX,31.0570663,-97.315088,1,345.0,345.0,Panda Power,transmission,IN SERVICE,OSM
Panda Temple 2 Substation,,,TX,31.0575022,-97.31656,1,345.0,345.0,Panda Power,transmission,IN SERVICE,OSM
Panther Creek Wind 1 Substation,,,TX,32.1004401,-101.4508578,1,345.0,34.5,E.ON,transmission,IN SERVICE,OSM
Panther Creek Wind 2 Substation,,,TX,31.9566722,-101.3017481,1,345.0,34.5,E.ON,transmission,IN SERVICE,OSM
Panther Creek Wind 3 Substation,,,TX,31.9825518,-101.1358764,1,345.0,34.5,E.ON,transmission,IN SERVICE,OSM
